variable,label,ligand_id,mw_g_mol,n_valid,below_lod_n,median_M,p95_M,p99_M,lognormal_mu_ln,lognormal_sigma_ln
LBXBFOA,Br. perfluorooctanoic acid iso (ng/mL),340_DTXSID8031865,414.064,3072,2880,1.6905599134433324e-10,2.4150855906333316e-10,4.830171181266663e-10,-22.455966470669253,0.2100684111132768
LBXMFOS,Sm-PFOS (ng/mL),146_DTXSID3031864,500.126,3072,41,2.3993953523712025e-09,8.99773257139201e-09,1.4326532171608421e-08,-19.9064391621401,0.8738519418819649
LBXMPAH,2-(N-methyl-PFOSA)acetic acid (ng/mL),431_DTXSID10624392,571.205,3072,1544,1.750684955488835e-10,1.0504109732933008e-09,2.1008219465866016e-09,-22.26592473675328,0.7487015096514973
LBXNFOA,n-perfluorooctanoic acid (ng/mL),340_DTXSID8031865,414.064,3072,14,3.1396112678233314e-09,8.452799567216662e-09,1.529724875305729e-08,-19.592488965406176,0.6750304144769277
LBXNFOS,n-perfluorooctane sulfonic acid (ng/mL),146_DTXSID3031864,500.126,3072,13,5.398639542835206e-09,2.0684025096101238e-08,3.9918879234487505e-08,-19.028994287670283,0.8563732504557393
LBXPFDE,Perfluorodecanoic acid (ng/mL),150_DTXSID3031860,514.078,3072,593,3.890460202537358e-10,1.1671380607612074e-09,2.723322141776151e-09,-21.796882325710808,0.7204183360128088
LBXPFHS,Perfluorohexane sulfonic acid (ng/mL),387_DTXSID7040150,400.112,3072,42,2.7492302155396488e-09,9.247410724997001e-09,2.0970659621433074e-08,-19.76548136193294,0.8624012786584867
LBXPFNA,Perfluorononanoic acid (ng/mL),336_DTXSID8031863,464.071,3072,160,1.0774213428548647e-09,3.2322640285645944e-09,6.895496594271134e-09,-20.732281048553574,0.8085718933756033
LBXPFUA,Perfluoroundecanoic acid (ng/mL),159_DTXSID8047553,564.085,3072,1276,1.7727824707269293e-10,7.091129882907717e-10,1.7727824707269292e-09,-22.26361689463271,0.6454032616930231
