metric,weighted_mean,p95,p99
TTII,0.0010652936657239182,0.0022308795026549704,0.0038112887380482587
RTII,0.017244003468856496,0.037218995937243454,0.062198343671579344
RTII_equal,0.015826121953049423,0.03438026337272071,0.0583857387919497
RTII_weighted,0.017244003468856496,0.037218995937243454,0.062198343671579344
OBI_total,0.009154648567290206,0.019941835786741555,0.03371654823092902
T4_free_ratio_change,0.0014450139616754684,0.0030290454328223003,0.005186281612512795
