ligand_id,C_ref_M,fu,T4_free_baseline_M,T4_free_with_pfas_M,T4_free_ratio_change,TTII_ref,RTII_ref_equal,RTII_ref_weighted,RTII_ref,OBI_ref,DTXSID,preferred_name,smiles_anionic
001_DTXSID70366226,1e-07,0.9991586766173348,1.6000000125870888e-11,1.6021786876052605e-11,0.0013616718756451593,0.001004552192763745,0.015762644680142046,0.016851360106533344,0.016851360106533344,0.008927956149648544,DTXSID70366226,Perfluoropentanamide,NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)F
002_DTXSID80880448,1e-07,0.9131785598572449,1.6000000125870888e-11,1.6359569986335037e-11,0.022473116102214905,0.01623504222464787,0.43270808149752865,0.41242892080561316,0.41242892080561316,0.21433198151513053,DTXSID80880448,"(1R,4R)-3-(Heptafluorobutyryl)-camphor",CC1(C)[C@@H]2CC[C@@]1(C)C(=O)C2C(=O)C(F)(F)C(F)(F)C(F)(F)F
003_DTXSID60654260,1e-07,0.9990557645982102,1.6000000125870888e-11,1.603566982026905e-11,0.0022293558823470293,0.001643207546758125,0.01306471955459651,0.013270463764079053,0.013270463764079053,0.007456835655418589,DTXSID60654260,"1,1-bis(Trifluoromethyl)methoxy-2-ethanol",OCCOC(C(F)(F)F)C(F)(F)F
004_DTXSID1068772,1e-07,0.9412635085259659,1.6000000125870888e-11,1.6354027632914385e-11,0.022126719016149207,0.01596278484673284,0.31171668205938835,0.29594821755190726,0.29594821755190726,0.15595550119932006,DTXSID1068772,2-(Perfluorobutyl)ethyl acrylate,C=CC(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F
005_DTXSID40190398,1e-07,0.0035336548428320396,1.6000000125870888e-11,1.6107110873164745e-11,0.006694421653201524,0.004909740151267174,0.2140090309815418,0.2894371842868734,0.2894371842868734,0.14717346221907027,DTXSID40190398,Perfluorobutanesulfonic anhydride,O=S(=O)(OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
006_DTXSID60190951,1e-07,0.021228543323333477,1.6000000125870888e-11,1.6066767489775208e-11,0.0041729602111916534,0.0030702130463446347,0.36714666139490304,0.519729336418568,0.519729336418568,0.2613997747324563,DTXSID60190951,1-H-Perfluorodecane,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
007_DTXSID70276659,1e-07,0.8183336971349423,1.6000000125870888e-11,1.6157691912965786e-11,0.009855736615896738,0.007205246188910853,0.07813094197311207,0.1023889335957583,0.1023889335957583,0.05479708989233458,DTXSID70276659,"Perfluoro-(2,5,8-trimethyl-3,6,9-trioxadodecanoic) acid",O=C([O-])C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F
008_DTXSID20188995,1e-07,0.9269546020759227,1.6000000125870888e-11,1.6113954754004572e-11,0.0071221642023256955,0.005222222152053894,0.11474090945618905,0.13935515114160435,0.13935515114160435,0.07228868664682912,DTXSID20188995,1H-Perfluorohexane,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
009_DTXSID50382141,1e-07,0.9998179682679623,1.6000000125870888e-11,1.6008872685091546e-11,0.0005545349469286762,0.00040946522247048775,0.002542315772723852,0.0024612205098634337,0.0024612205098634337,0.0014353428661669607,DTXSID50382141,Fluorotelomer alcohol 3:2,OCCC(F)(F)C(F)(F)C(F)(F)F
010_DTXSID10382147,1e-07,0.9991763516753089,1.6000000125870888e-11,1.603250749298013e-11,0.0020317104283443348,0.001497941580614529,0.013419847058929638,0.013019777548984705,0.013019777548984705,0.007258859564799617,DTXSID10382147,"3-(Perfluoro-2-butyl)propane-1,2-diol",OCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F
011_DTXSID60188999,1e-07,0.989272065452946,1.6000000125870888e-11,1.6063082903983175e-11,0.0039426736010012235,0.00290083547011519,0.0369306410030332,0.04224762077104919,0.04224762077104919,0.02257422812058219,DTXSID60188999,"1H,1H,6H,6H-Perfluoro-1,6-hexanediol",OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)CO
012_DTXSID0073118,1e-07,0.9993730603538045,1.6000000125870888e-11,1.6016355079884195e-11,0.0010221846177902395,0.0007543861271201629,0.008443604921370999,0.00820382280589013,0.00820382280589013,0.004479104466505146,DTXSID0073118,Ethyl perfluorobutyl ether,CCOC(F)(F)C(F)(F)C(F)(F)C(F)(F)F
013_DTXSID4074932,1e-07,0.9988119988236086,1.6000000125870888e-11,1.6017332702134014e-11,0.0010832860079232872,0.0007994405089842793,0.00435697250720257,0.004578569730892282,0.004578569730892282,0.0026890051199382806,DTXSID4074932,Perfluoro-2-methyl-3-pentanone,O=C(C(F)(F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F
014_DTXSID00870523,1e-07,0.9999452624793473,1.6000000125870888e-11,1.6005341608860136e-11,0.0003338426842016899,0.0002465694921462152,0.0007960439399304969,0.0007833590648686394,0.0007833590648686394,0.0005149642785074273,DTXSID00870523,"1H,1H,3H-Perfluorobutanol",OCC(F)(F)C(F)C(F)(F)F
