ligand_id,TTII_contribution,RTII_contribution,RTII_contribution_equal,RTII_contribution_weighted,mean_contribution,DTXSID,preferred_name
336_DTXSID8031863,0.0003455746320734145,0.009735425127261357,0.009339746105977523,0.009735425127261357,0.005040499879667385,DTXSID8031863,Perfluorononanoic acid
340_DTXSID8031865,0.0004426751047467317,0.004301377536145762,0.00406728919430018,0.004301377536145762,0.002372026320446247,DTXSID8031865,Perfluorooctanoic acid
387_DTXSID7040150,0.00018966870156751636,0.002272620246442502,0.0017045948384070552,0.002272620246442502,0.0012311444740050093,DTXSID7040150,Perfluorohexanesulfonic acid
431_DTXSID10624392,5.167898143129849e-05,0.0003876209369184811,0.0002840854172010964,0.0003876209369184811,0.00021964995917488978,DTXSID10624392,2-(N-methylperfluorooctane sulfonamido)acetic acid
146_DTXSID3031864,1.8979758184752236e-06,0.00029376830012296524,0.0001960865760724073,0.00029376830012296524,0.00014783313797072024,DTXSID3031864,Perfluorooctanesulfonic acid
150_DTXSID3031860,2.0982385975569167e-05,0.0001451926084848793,0.00013285760728720932,0.0001451926084848793,8.308749723022424e-05,DTXSID3031860,Perfluorodecanoic acid
159_DTXSID8047553,1.2815884110913899e-05,0.00010799871348050691,0.00010146221380391507,0.00010799871348050691,6.04072987957104e-05,DTXSID8047553,Perfluoroundecanoic acid
