holdout_target,n_train_ligands,n_eval,spearman,cindex,rmse,r2
TBG,409,409,0.9604458398377644,0.9180712059458164,3.795337787894822,-14.394575612851012
HSA,409,409,0.9555420296919673,0.9180150055132077,1.7828306110867216,0.05426711137296336
PPARG,409,409,0.9467727407066537,0.9057457623054976,5.124643103836375,-12.871240274452509
TTR,409,409,0.9339304940094509,0.8937219784698746,4.629877696608076,-30.985265018804903
GPR40,409,409,0.9216083778472178,0.8905961487734108,5.903907585565063,-17.880294743140393
OAT1,409,409,0.7909613500499899,0.8221696134252322,2.732104865406217,-2.5009514929976184
OAT4,409,409,0.7745113863869526,0.816989115841964,1.7908951802063133,-1.179735512347868
URAT1,409,409,0.5377319064040753,0.7310002157704203,1.9733006607482202,-1.1125972079695874
