model,split,r2_log_mean,r2_log_std,rmse_log_mean,rmse_log_std,mae_log_mean,mae_log_std,r2_linear_mean,r2_linear_std,rmse_linear_mean,rmse_linear_std,mae_linear_mean,mae_linear_std
ElasticNetCV,cv_train,0.10656979382260638,0.09654363084420169,0.8581742621994938,0.04333686279617667,0.7119884201768113,0.03558134298195966,-0.025804199240833558,0.06240475813333,0.10643858928930235,0.004291294401842568,0.05938716959071635,0.0023936718482339757
ElasticNetCV,test,0.431420829166471,0.13655553709885787,0.703163941433995,0.07912039694500927,0.5647400420076818,0.031191402201654932,-0.30634144548662695,0.3017058363713983,0.13213492431730472,0.01877650120927635,0.07496023745663162,0.009563172569789922
RandomForest,cv_train,0.18420584125565093,0.129651953298073,0.8185289690606039,0.06112239103110949,0.680134866713931,0.045963146215837115,-0.06856415343205247,0.04471018620958075,0.10867793353051394,0.004304136799088855,0.0589353237186125,0.002411364293553186
RandomForest,test,0.6747376263061489,0.05961970174206369,0.5332804870643253,0.05382953946774215,0.4332974454677946,0.03555469628403318,0.08217230846808668,0.05323826428707401,0.11106062226544285,0.006854101230332018,0.06660175126408605,0.005635887288087052
