metric,weighted_mean,p95,p99
TTII,0.0017363394862677899,0.0036939813254143784,0.0059633319604973836
RTII,0.029463020655590793,0.0624727604000345,0.10672621796083775
RTII_equal,0.02677829680133556,0.05701471363432837,0.09654543767468528
RTII_weighted,0.029463020655590793,0.0624727604000345,0.10672621796083775
OBI_total,0.015599680070929291,0.033091342863806154,0.05529023980032031
T4_free_ratio_change,0.0023586271971597042,0.005025908486121184,0.008140174757945144
