ligand_id,C_ref_M,fu,T4_free_baseline_M,T4_free_with_pfas_M,T4_free_ratio_change,TTII_ref,RTII_ref_equal,RTII_ref_weighted,RTII_ref,OBI_ref,DTXSID,preferred_name,smiles_anionic
001_DTXSID70366226,1e-07,0.9999156442126935,1.6000000125870888e-11,1.6021803055110695e-11,0.001362683066767853,0.0010052970440783695,0.01577430289776734,0.01686383953016378,0.01686383953016378,0.008934568287121074,DTXSID70366226,Perfluoropentanamide,NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)F
002_DTXSID80880448,1e-07,0.9905642386355479,1.6000000125870888e-11,1.6389713653808264e-11,0.024357095304470455,0.017563379724965116,0.4429162941776668,0.423102971757211,0.423102971757211,0.22033317574108807,DTXSID80880448,"(1R,4R)-3-(Heptafluorobutyryl)-camphor",CC1(C)[C@@H]2CC[C@@]1(C)C(=O)C2C(=O)C(F)(F)C(F)(F)C(F)(F)F
003_DTXSID60654260,1e-07,0.9999053169037179,1.6000000125870888e-11,1.6035699738736758e-11,0.0022312257865639783,0.0016445824890673362,0.013075645739919673,0.013281567105275147,0.013281567105275147,0.0074630747971712414,DTXSID60654260,"1,1-bis(Trifluoromethyl)methoxy-2-ethanol",OCCOC(C(F)(F)F)C(F)(F)F
004_DTXSID1068772,1e-07,0.9937868327834241,1.6000000125870888e-11,1.637292704543825e-11,0.023307932289598245,0.016793901377102526,0.3212704614479666,0.3052689347373152,0.3052689347373152,0.16103141805720886,DTXSID1068772,2-(Perfluorobutyl)ethyl acrylate,C=CC(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F
005_DTXSID40190398,1e-07,0.03418475888860047,1.6000000125870888e-11,1.6921472792219557e-11,0.05759204119371926,0.040024359842830155,0.5636749308820784,0.6485045059519938,0.6485045059519938,0.344264432897412,DTXSID40190398,Perfluorobutanesulfonic anhydride,O=S(=O)(OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
006_DTXSID60190951,1e-07,0.1779554281802894,1.6000000125870888e-11,1.6550008623639202e-11,0.034375530840089735,0.024543637913135904,0.497060868645641,0.5981852638541862,0.5981852638541862,0.31136445088366105,DTXSID60190951,1-H-Perfluorodecane,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
007_DTXSID70276659,1e-07,0.9782422793385857,1.6000000125870888e-11,1.6187870714645665e-11,0.011741911706050812,0.008566932210906215,0.0908372138976008,0.11867017686866074,0.11867017686866074,0.06361855453978348,DTXSID70276659,"Perfluoro-(2,5,8-trimethyl-3,6,9-trioxadodecanoic) acid",O=C([O-])C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F
008_DTXSID20188995,1e-07,0.9921667482042862,1.6000000125870888e-11,1.612185592456683e-11,0.007615987358582041,0.005581368716096778,0.12149793956708277,0.14741012997566327,0.14741012997566327,0.07649574934588002,DTXSID20188995,1H-Perfluorohexane,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
009_DTXSID50382141,1e-07,0.999981759309822,1.6000000125870888e-11,1.6008874078821124e-11,0.0005546220550265885,0.00040952950154976494,0.0025427303040154634,0.002461621912357356,0.002461621912357356,0.0014355757069535605,DTXSID50382141,Fluorotelomer alcohol 3:2,OCCC(F)(F)C(F)(F)C(F)(F)F
010_DTXSID10382147,1e-07,0.9999174177272508,1.6000000125870888e-11,1.6032531293674882e-11,0.0020331979717546165,0.0014990359582201529,0.013429546969044373,0.01302920108058147,0.01302920108058147,0.007264118519400811,DTXSID10382147,"3-(Perfluoro-2-butyl)propane-1,2-diol",OCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F
011_DTXSID60188999,1e-07,0.9989146950193368,1.6000000125870888e-11,1.6063691024470476e-11,0.003980681131158552,0.002928680972257251,0.037273417768101134,0.042639171663533204,0.042639171663533204,0.022783926317895227,DTXSID60188999,"1H,1H,6H,6H-Perfluoro-1,6-hexanediol",OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)CO
012_DTXSID0073118,1e-07,0.9999371516579426,1.6000000125870888e-11,1.6016364087789727e-11,0.0010227476118815522,0.0007548011485742452,0.008448293759738127,0.008208382487225184,0.008208382487225184,0.004481591817899715,DTXSID0073118,Ethyl perfluorobutyl ether,CCOC(F)(F)C(F)(F)C(F)(F)C(F)(F)F
013_DTXSID4074932,1e-07,0.9998808471611541,1.6000000125870888e-11,1.6017350831631916e-11,0.0010844191015331964,0.0008002756932943733,0.00436161285963828,0.004583445624211869,0.004583445624211869,0.0026918606587531214,DTXSID4074932,Perfluoro-2-methyl-3-pentanone,O=C(C(F)(F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F
014_DTXSID00870523,1e-07,0.9999945155947514,1.6000000125870888e-11,1.6005341854707927e-11,0.00033385804968850404,0.0002465808288313841,0.0007960831046784017,0.0007833976073735249,0.0007833976073735249,0.0005149892181024545,DTXSID00870523,"1H,1H,3H-Perfluorobutanol",OCC(F)(F)C(F)C(F)(F)F
015_DTXSID20371305,1e-07,0.9986125551544076,1.6000000125870888e-11,1.6062716170495154e-11,0.003919752758180227,0.002884786416095456,0.023408767397461883,0.03012220942495976,0.03012220942495976,0.016503497920527608,DTXSID20371305,2-Bromo-2-(Perfluorohexyl)ethene,C=C(Br)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
016_DTXSID60371783,1e-07,0.9999963254767635,1.6000000125870888e-11,1.6002827959482603e-11,0.00017673959934184056,0.0001305599037860191,0.0006484860149149483,0.0006336470390531403,0.0006336470390531403,0.00038210347141957965,DTXSID60371783,"Difluoromethyl 2,2,3,3-tetrafluoropropyl ether",FC(F)OCC(F)(F)C(F)F
017_DTXSID30175730,1e-07,0.9998739047701666,1.6000000125870888e-11,1.6027045499811266e-11,0.0016903358579759035,0.0012466888530449092,0.009265020702244617,0.010035914995990807,0.010035914995990807,0.005641301924517858,DTXSID30175730,"4H,4H-Perfluoro-6,6-dimethylheptane-3,5-dione",CC(C)(C)C(=O)CC(=O)C(F)(F)C(F)(F)F
018_DTXSID50441560,1e-07,0.9998213197621771,1.6000000125870888e-11,1.603813355508521e-11,0.002383339307145558,0.0017562215775525037,0.020746505323237446,0.020245883438349616,0.020245883438349616,0.01100105250795106,DTXSID50441560,"Methyl 2H,2H,3H,3H-perfluoroheptanoate",COC(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F
019_DTXSID00226440,1e-07,0.9986576859510026,1.6000000125870888e-11,1.6053118286762928e-11,0.003319885029635238,0.0024442727938049523,0.052757233254292234,0.06132915072354761,0.06132915072354761,0.03188671175867628,DTXSID00226440,Perfluorohex-1-ene,FC(F)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
020_DTXSID9061881,1e-07,0.9996562648099406,1.6000000125870888e-11,1.6022229721812667e-11,0.0013893497354312684,0.0010250273319590147,0.012217855125036509,0.013430902864921154,0.013430902864921154,0.0072279650984400845,DTXSID9061881,"1-Iodo-1H,1H,2H,2H-perfluoroheptane",FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCI
